,class_code,mean_area,pct90_area,mean_side_length,std_side_length,max_side_length,pct90_longest_side,Region,Distance
0,CS,95.62119859627744,166.17011075683925,9.831502496312908,2.2727192976145174,173.028608418832,17.755649051648525,DC,14.194271391633444
1,ME,82.70831459223172,116.70004006871626,10.022151397645851,4.143337191825603,125.457655042025,19.884403468307692,DC,8.799309364517605
2,SH,104.68908088121212,182.13219334494568,10.569371208560886,2.7643723832163665,57.38186239247203,19.02178238433615,DC,71.35492210478361
3,SL,107.88670298870701,184.17168538255802,10.648820647302488,2.0199795876829425,125.56217791305552,19.04416964328616,DC,18.755446237862188
4,TL,126.22711077300197,222.3352716587219,11.506220843957424,2.4107248699396715,118.60998461240001,20.643441847975883,DC,48.87394661373962
5,UR,87.14801215803128,117.24957666139657,10.512395206347865,4.642612654953031,74.49967632920873,20.765891769265135,DC,29.033984653242463
6,WS,109.26116702399723,212.27639757314722,10.58837887689815,2.2051755522435545,47.6574060724103,19.009575571852785,DC,50.88236201953182
7,AP,220.27506549909407,334.6934357476991,15.382730310262321,2.096755835036811,139.57537694287888,21.930918657370924,Denver,26.629367653239488
8,CN,379.31745140005114,590.0364838614605,21.179416240694565,3.249251388884488,86.1994539253726,34.78888861071824,Denver,44.489682577496524
9,CS,173.8690853072808,255.85089025534546,13.564220977090898,2.021023954801871,137.45133839451438,20.19020372418861,Denver,20.54934003227172
10,SL,542.6822907513605,1027.8829639800613,27.105746824532673,5.348557817198957,95.97495208442405,54.098605145173835,Denver,214.8054964718057
11,TG,498.9422723619956,824.9564880239747,22.750723680520846,6.634758386597576,228.91285527403852,49.07823043430995,Denver,175.87511521959698
12,TL,261.3838202165581,440.40977483692626,16.51069430224561,2.2807171343294974,102.42538844611988,26.69261893360239,Denver,63.599778794706054
13,WS,250.7973370974851,393.92710490360207,16.69292515514071,2.5984819453571273,70.66495496487589,27.524037498522155,Denver,44.57677979355861
